Ego_vx,Ego_vy,Ego_Yawrate,CycleNum
14.3828,NULL,-0.000183105,420
14.3789,NULL,-0.000305176,421
14.3789,NULL,-0.000305176,422
14.3711,NULL,0,423
14.3672,NULL,0.000305176,424
14.3672,NULL,0.000244141,425
14.3672,NULL,6.10352e-05,426
14.3672,NULL,0,427
14.3711,NULL,-0.000427246,428
14.3711,NULL,-0.000549316,429
14.375,NULL,-0.000488281,430
14.375,NULL,-0.000427246,431
14.3711,NULL,-0.000427246,432
14.3711,NULL,-0.000671387,433
14.375,NULL,-0.000915527,434
14.3711,NULL,-0.000793457,435
14.3672,NULL,-0.000915527,436
14.3633,NULL,-0.000915527,437
14.3594,NULL,-0.000976563,438
14.3555,NULL,-0.00152588,439
14.3555,NULL,-0.00189209,440
14.3555,NULL,-0.00177002,441
14.3516,NULL,-0.00152588,442
14.3516,NULL,-0.00140381,443
14.3477,NULL,-0.00109863,444
14.3477,NULL,-0.00134277,445
14.3438,NULL,-0.00195313,446
14.3438,NULL,-0.00262451,447
14.3438,NULL,-0.00335693,448
14.3438,NULL,-0.00360107,449
14.3398,NULL,-0.003479,450
14.3359,NULL,-0.00317383,451
14.3359,NULL,-0.00244141,452
14.332,NULL,-0.00213623,453
14.332,NULL,-0.00231934,454
14.332,NULL,-0.00250244,455
14.332,NULL,-0.00262451,456
14.3281,NULL,-0.00244141,457
14.3281,NULL,-0.00183105,458
14.3242,NULL,-0.00115967,459
14.3203,NULL,-0.0010376,460
14.3203,NULL,-0.00115967,461
14.3164,NULL,-0.00134277,462
14.3125,NULL,-0.00128174,463
14.3125,NULL,-0.00109863,464
14.3086,NULL,-0.00109863,465
14.3086,NULL,-0.000976563,466
14.3086,NULL,-0.000915527,467
14.3086,NULL,-0.00128174,468
14.3086,NULL,-0.00183105,469
14.3086,NULL,-0.00244141,470
14.3086,NULL,-0.00317383,471
14.3086,NULL,-0.00354004,472
14.3047,NULL,-0.0032959,473
14.3047,NULL,-0.00323486,474
14.3047,NULL,-0.00311279,475
14.3008,NULL,-0.00299072,476
14.2969,NULL,-0.00262451,477
14.2969,NULL,-0.0022583,478
14.293,NULL,-0.0020752,479
14.2852,NULL,-0.00189209,480
14.2813,NULL,-0.00201416,481
14.2813,NULL,-0.00244141,482
14.2813,NULL,-0.00262451,483
14.2813,NULL,-0.00231934,484
14.2813,NULL,-0.00231934,485
14.2813,NULL,-0.00256348,486
14.2773,NULL,-0.00268555,487
14.2734,NULL,-0.00305176,488
14.2734,NULL,-0.00311279,489
14.2734,NULL,-0.00299072,490
14.2734,NULL,-0.00292969,491
14.2734,NULL,-0.00292969,492
14.2695,NULL,-0.00305176,493
14.2656,NULL,-0.0032959,494
14.2617,NULL,-0.00323486,495
14.2617,NULL,-0.00317383,496
14.2617,NULL,-0.0032959,497
14.2617,NULL,-0.00305176,498
14.2656,NULL,-0.00317383,499
14.2656,NULL,-0.0032959,500
14.2617,NULL,-0.00305176,501
14.2617,NULL,-0.00292969,502
14.2617,NULL,-0.00292969,503
14.2617,NULL,-0.00305176,504
14.2617,NULL,-0.00317383,505
14.2578,NULL,-0.00311279,506
14.2578,NULL,-0.00256348,507
14.2578,NULL,-0.0020752,508
14.2539,NULL,-0.00177002,509
14.2539,NULL,-0.00213623,510
14.2539,NULL,-0.00292969,511
14.2539,NULL,-0.00335693,512
14.25,NULL,-0.003479,513
14.25,NULL,-0.00323486,514
14.25,NULL,-0.00274658,515
14.2461,NULL,-0.00231934,516
14.2461,NULL,-0.0022583,517
14.2422,NULL,-0.0020752,518
14.2422,NULL,-0.00164795,519
14.2422,NULL,-0.00134277,520
14.2422,NULL,-0.000976563,521
14.2422,NULL,-0.000549316,522
14.2383,NULL,-0.000244141,523
14.2383,NULL,0,524
14.2344,NULL,0.000183105,525
14.2344,NULL,0.000366211,526
14.2305,NULL,0.000610352,527
14.2305,NULL,0.000793457,528
14.2266,NULL,0.000915527,529
14.2227,NULL,0.0012207,530
14.2188,NULL,0.00115967,531
14.2188,NULL,0.0012207,532
14.2188,NULL,0.00140381,533
14.2188,NULL,0.00158691,534
14.2188,NULL,0.00213623,535
14.2188,NULL,0.00256348,536
14.2148,NULL,0.00299072,537
14.2148,NULL,0.0032959,538
14.2148,NULL,0.00280762,539
14.2148,NULL,0.00231934,540
14.2148,NULL,0.00189209,541
14.2148,NULL,0.00158691,542
14.2148,NULL,0.00158691,543
14.2148,NULL,0.00195313,544
14.2109,NULL,0.00213623,545
14.2109,NULL,0.00201416,546
14.2109,NULL,0.00170898,547
14.207,NULL,0.00115967,548
14.207,NULL,0.0010376,549
14.2031,NULL,0.00146484,550
14.2031,NULL,0.0020752,551
14.1992,NULL,0.00262451,552
14.1992,NULL,0.00292969,553
14.1992,NULL,0.00292969,554
14.1992,NULL,0.00280762,555
14.1992,NULL,0.00268555,556
14.1992,NULL,0.00256348,557
14.1953,NULL,0.00262451,558
14.1914,NULL,0.00292969,559
14.1875,NULL,0.00299072,560
14.1875,NULL,0.00286865,561
14.1836,NULL,0.00238037,562
14.1836,NULL,0.00164795,563
14.1836,NULL,0.00134277,564
14.1797,NULL,0.0012207,565
14.1797,NULL,0.00158691,566
14.1758,NULL,0.0020752,567
14.1758,NULL,0.00231934,568
14.1758,NULL,0.00244141,569
14.1758,NULL,0.00231934,570
14.1758,NULL,0.00170898,571
14.1758,NULL,0.00140381,572
14.1719,NULL,0.00140381,573
14.1719,NULL,0.00152588,574
14.1719,NULL,0.00195313,575
14.1719,NULL,0.0020752,576
14.1719,NULL,0.00164795,577
14.1719,NULL,0.00146484,578
14.1758,NULL,0.00158691,579
14.1719,NULL,0.00201416,580
14.1719,NULL,0.00231934,581
14.1719,NULL,0.00213623,582
14.168,NULL,0.00183105,583
14.168,NULL,0.00152588,584
14.1641,NULL,0.00152588,585
14.1602,NULL,0.00177002,586
14.1563,NULL,0.00219727,587
14.1523,NULL,0.0020752,588
14.1563,NULL,0.00183105,589
14.1602,NULL,0.00170898,590
14.1641,NULL,0.0012207,591
14.168,NULL,0.0010376,592
14.1719,NULL,0.00115967,593
14.168,NULL,0.00134277,594
14.1641,NULL,0.00146484,595
14.1563,NULL,0.00152588,596
14.1563,NULL,0.00134277,597
